Rank,Name,Revenue ($M),Revenue % change,Profit ($M),Profit % change,Assets ($M),Market Value ($M),Change in rank (1000),Employees,Change in rank (500),Year,Female CEO,Founder CEO
194,D.R. Horton,"$16,068.0",14.0%,"$1,460.3",40.6%,"$14,114.6","$15,452.2",17,"8,437",17,2019,0,0
195,Becton Dickinson,"$15,983.0",32.2%,$311.0,-71.7%,"$53,904.0","$67,193.2",56,"76,032",56,2019,0,0
196,Nordstrom,"$15,860.0",2.5%,$564.0,29.1%,"$7,886.0","$6,879.0",-13,"74,000",-13,2019,0,0
197,Netflix,"$15,794.3",35.1%,"$1,211.2",116.7%,"$25,974.4","$155,673.6",64,"7,100",64,2019,0,1
198,Aramark,"$15,789.6",8.1%,$567.9,51.9%,"$13,720.1","$7,278.1",2,"227,200",2,2019,0,0
199,Texas Instruments,"$15,784.0",5.5%,"$5,580.0",51.5%,"$17,137.0","$99,559.2",-7,"29,888",-7,2019,0,0
200,General Mills,"$15,740.4",0.8%,"$2,131.0",28.6%,"$30,624.0","$30,987.4",-18,"40,000",-18,2019,0,0
201,Supervalu,"$15,679.0",-2.1%,$45.0,-93.1%,"$4,387.0",-,-21,"23,000",-21,2019,0,0
202,Colgate-Palmolive,"$15,544.0",0.6%,"$2,400.0",18.6%,"$12,161.0","$58,931.4",-18,"34,500",-18,2019,0,0
203,Goodyear Tire & Rubber,"$15,475.0",0.6%,$693.0,100.3%,"$16,872.0","$4,215.6",-16,"64,000",-16,2019,0,0
204,PayPal Holdings,"$15,451.0",18.0%,"$2,057.0",14.6%,"$43,332.0","$121,826.1",18,"21,800",18,2019,0,0
205,PPG Industries,"$15,374.0",2.7%,"$1,341.0",-15.7%,"$16,015.0","$26,648.8",-14,"47,300",-14,2019,0,0
206,Omnicom Group,"$15,290.2",0.1%,"$1,326.4",21.9%,"$24,617.0","$16,327.2",-18,"70,400",-18,2019,0,0
207,Celgene,"$15,281.0",17.5%,"$4,046.0",37.6%,"$35,480.0","$66,242.2",17,"8,852",17,2019,0,0
208,Jacobs Engineering Group,"$14,984.6",49.5%,$163.4,-44.4%,"$12,645.8","$10,490.3",89,"77,600",89,2019,0,0
209,Ross Stores,"$14,983.5",6.0%,"$1,587.5",16.5%,"$6,073.7","$34,501.8",-,"88,100",-,2019,1,0
210,Marsh & McLennan,"$14,950.0",6.6%,"$1,650.0",10.6%,"$21,578.0","$47,660.1",2,"66,000",2,2019,0,0
210,Mastercard,"$14,950.0",19.6%,"$5,859.0",49.7%,"$24,860.0","$241,550.3",26,"14,800",26,2019,0,0
212,Land O'Lakes,"$14,936.2",8.7%,$254.5,-19.0%,"$9,124.4",-,4,"10,000",4,2019,1,0
213,Waste Management,"$14,914.0",3.0%,"$1,925.0",-1.2%,"$22,650.0","$44,128.7",-11,"43,700",-11,2019,0,0
214,Illinois Tool Works,"$14,768.0",3.2%,"$2,563.0",51.9%,"$14,870.0","$46,922.6",-10,"48,000",-10,2019,0,0
215,Ecolab,"$14,668.2",6.0%,"$1,429.1",-5.3%,"$20,074.5","$50,908.2",-,"49,000",-,2019,0,0
216,Booking Holdings,"$14,527.0",14.6%,"$3,998.0",70.8%,"$22,687.0","$78,543.2",13,"24,500",13,2019,0,0
217,CBS,"$14,514.0",-1.3%,"$1,960.0",449.0%,"$21,859.0","$17,727.3",-20,"14,750",-20,2019,0,0
218,Parker-Hannifin,"$14,302.4",18.9%,"$1,060.8",7.9%,"$15,320.1","$22,201.7",38,"57,170",38,2019,0,0
219,Principal Financial,"$14,237.2",1.0%,"$1,546.5",-33.1%,"$243,036.1","$13,968.6",-9,"16,475",-9,2019,0,0
220,DTE Energy,"$14,212.0",12.7%,"$1,120.0",-1.2%,"$36,288.0","$22,854.2",12,"10,600",12,2019,0,0
221,BlackRock,"$14,198.0",13.7%,"$4,305.0",-13.4%,"$159,573.0","$67,538.1",16,"14,900",16,2019,0,0
222,United States Steel,"$14,178.0",15.7%,"$1,115.0",188.1%,"$10,982.0","$3,378.5",24,"29,000",24,2019,0,0
223,Community Health Systems,"$14,155.0",-23.4%,$-788.0,-,"$15,859.0",$433.5,-63,"78,500",-63,2019,0,0
224,Kinder Morgan,"$14,144.0",3.2%,"$1,609.0",779.2%,"$78,866.0","$45,294.8",-6,"11,012",-6,2019,0,0
225,Qurate Retail,"$14,070.0",35.2%,$916.0,-62.5%,"$17,841.0","$6,961.7",63,"27,226",63,2019,0,0
226,Loews,"$14,066.0",2.4%,$636.0,-45.4%,"$78,316.0","$14,920.6",-9,"17,900",-9,2019,0,0
227,Arconic,"$14,014.0",8.1%,$642.0,-,"$18,693.0","$8,658.4",-2,"43,000",-2,2019,0,0
228,Stanley Black & Decker,"$13,982.4",9.7%,$605.2,-50.6%,"$19,408.0","$20,610.3",-,"60,767",-,2019,0,0
229,Textron,"$13,972.0",-1.6%,"$1,222.0",298.0%,"$14,264.0","$11,846.7",-21,"35,000",-21,2019,0,0
230,Las Vegas Sands,"$13,729.0",6.6%,"$2,413.0",-14.0%,"$22,547.0","$47,247.2",-3,"51,500",-3,2019,0,0
231,Estee Lauder,"$13,683.0",15.7%,"$1,108.0",-11.3%,"$12,567.0","$59,790.5",27,"46,000",27,2019,0,0
232,DISH Network,"$13,621.3",-5.4%,"$1,575.1",-24.9%,"$30,587.0","$14,827.5",-29,"16,000",-29,2019,0,0
233,Stryker,"$13,601.0",9.3%,"$3,553.0",248.3%,"$27,229.0","$73,695.7",7,"36,000",7,2019,0,0
234,Kellogg,"$13,547.0",4.8%,"$1,336.0",5.3%,"$17,780.0","$19,722.6",-8,"34,000",-8,2019,0,0
235,Biogen,"$13,452.9",9.6%,"$4,430.7",74.5%,"$25,288.9","$46,498.0",10,"7,800",10,2019,0,0
236,Alcoa,"$13,403.0",15.0%,$227.0,4.6%,"$15,938.0","$5,224.1",26,"14,000",26,2019,0,0
237,Anadarko Petroleum,"$13,382.0",12.4%,$615.0,-,"$40,376.0","$22,828.2",20,"4,700",20,2019,0,0
238,Dominion Energy,"$13,366.0",6.2%,"$2,447.0",-18.4%,"$77,914.0","$61,281.9",-5,"16,100",-5,2019,0,0
239,ADP,"$13,325.8",7.6%,"$1,620.8",-6.5%,"$37,088.7","$69,587.5",4,"57,000",4,2019,0,0
240,salesforce.com,"$13,282.0",26.7%,"$1,110.0",770.7%,"$30,737.0","$122,103.3",45,"35,000",45,2019,0,1
241,L Brands,"$13,236.9",4.8%,$643.9,-34.5%,"$8,090.2","$7,589.9",-10,"57,200",-10,2019,0,1
242,Henry Schein,"$13,202.0",5.9%,$535.9,31.9%,"$8,500.5","$9,100.9",-4,"22,600",-4,2019,0,0
243,Newell Brands,"$13,033.1",-11.6%,"$-6,917.9",-351.7%,"$17,716.4","$6,490.1",-47,"37,000",-47,2019,0,0
244,Guardian Life Ins. Co. of America,"$13,014.9",4.5%,$464.9,2.1%,"$74,053.0",-,-5,"9,556",-5,2019,1,0
245,BJ's Wholesale Club,"$13,007.3",2.0%,$127.3,153.0%,"$3,239.3","$3,776.6",-,"26,383",-,2019,0,0
246,BB&T Corp.,"$12,996.0",6.9%,"$3,237.0",35.2%,"$225,697.0","$35,541.0",4,"35,852",4,2019,0,0
247,State Street Corp.,"$12,973.0",10.2%,"$2,599.0",19.4%,"$244,626.0","$24,919.6",12,"40,142",12,2019,0,0
248,Viacom,"$12,943.0",-2.4%,"$1,719.0",-8.3%,"$23,783.0","$11,530.7",-27,"10,880",-27,2019,0,0
249,Ameriprise Financial,"$12,924.0",7.0%,"$2,098.0",41.8%,"$137,216.0","$17,345.1",3,"14,062",3,2019,0,0
250,Core-Mark Holding,"$12,903.9",5.6%,$45.5,35.8%,"$1,666.1","$1,703.2",-3,"8,087",-3,2019,0,0
251,Reinsurance Group of America,"$12,875.7",2.9%,$715.8,-60.7%,"$64,535.2","$8,922.0",-17,"2,767",-17,2019,1,0
252,VF,"$12,862.3",3.7%,$658.6,7.1%,"$10,311.3","$34,382.1",-10,"69,000",-10,2019,0,0
253,Discover Financial Services,"$12,848.0",11.3%,"$2,742.0",30.6%,"$109,553.0","$23,215.1",10,"16,600",10,2019,0,0
254,Global Partners,"$12,672.6",42.1%,$103.9,76.9%,"$2,424.3",$668.4,77,"2,500",77,2019,0,0
255,Edison International,"$12,657.0",2.7%,$-423.0,-174.9%,"$56,715.0","$20,174.2",-11,"12,574",-11,2019,0,0
256,Oneok,"$12,593.2",3.4%,"$1,151.7",197.0%,"$18,231.7","$28,746.9",-7,"2,684",-7,2019,0,0
257,Murphy USA,"$12,524.0",15.4%,$213.6,-12.9%,"$2,360.8","$2,755.6",22,"6,800",22,2019,0,0
258,Bed Bath & Beyond,"$12,349.3",1.1%,$424.9,-38.0%,"$7,040.8","$2,335.7",-10,"65,000",-10,2019,0,0
259,Consolidated Edison,"$12,337.0",2.5%,"$1,382.0",-9.4%,"$53,920.0","$27,230.6",-4,"15,307",-4,2019,0,0
260,CSX,"$12,250.0",7.4%,"$3,309.0",-39.5%,"$36,729.0","$60,805.2",5,"22,475",5,2019,0,0
261,J.C. Penney,"$12,019.0",-3.9%,$-255.0,-,"$7,721.0",$471.4,-26,"95,000",-26,2019,1,0
262,LKQ,"$11,876.7",20.6%,$480.1,-10.0%,"$11,393.4","$8,926.4",38,"51,000",38,2019,0,0
263,FirstEnergy,"$11,864.0",-12.9%,"$1,348.0",-,"$40,063.0","$22,059.6",-44,"12,494",-44,2019,0,0
264,Steel Dynamics,"$11,821.8",23.9%,"$1,258.4",54.8%,"$7,703.6","$7,862.8",48,"8,200",48,2019,0,1
265,Lithia Motors,"$11,821.4",17.2%,$265.7,8.4%,"$5,384.0","$2,147.0",29,"13,643",29,2019,0,0
266,MGM Resorts International,"$11,763.1",9.2%,$466.8,-76.2%,"$30,210.7","$13,777.3",14,"74,500",14,2019,0,0
267,Tenneco,"$11,763.0",26.8%,$55.0,-73.4%,"$13,232.0","$1,793.2",53,"81,000",53,2019,0,0
268,Nvidia,"$11,716.0",20.6%,"$4,141.0",35.9%,"$13,292.0","$108,813.4",38,"13,277",38,2019,0,1
269,Sempra Energy,"$11,687.0",4.3%,"$1,049.0",309.8%,"$60,638.0","$34,508.6",2,"16,823",2,2019,0,0
270,Farmers Insurance Exchange,"$11,650.4",-3.5%,$-70.5,-,"$17,016.3",-,-17,"12,740",-17,2019,0,0
271,Ball,"$11,635.0",5.9%,$454.0,21.4%,"$16,554.0","$19,335.0",6,"17,500",6,2019,0,0
272,Group 1 Automotive,"$11,601.4",4.3%,$157.8,-26.1%,"$5,001.1","$1,186.6",1,"14,570",1,2019,0,0
273,Unum Group,"$11,598.5",2.8%,$523.4,-47.4%,"$61,875.6","$7,260.8",-6,"9,600",-6,2019,0,0
274,Xcel Energy,"$11,537.0",1.2%,"$1,261.0",9.8%,"$45,987.0","$28,903.8",-8,"11,068",-8,2019,0,0
275,Reliance Steel & Aluminum,"$11,534.5",18.7%,$633.7,3.3%,"$8,044.9","$6,054.5",30,"15,600",30,2019,0,0
276,Huntsman,"$11,527.0",8.8%,$337.0,-47.0%,"$7,953.0","$5,251.9",6,"10,000",6,2019,0,0
277,Norfolk Southern,"$11,458.0",8.6%,"$2,666.0",-50.7%,"$36,239.0","$49,860.3",7,"26,662",7,2019,0,0
278,Laboratory Corp. of America,"$11,333.4",8.5%,$883.7,-30.3%,"$16,185.3","$15,095.8",8,"61,000",8,2019,0,0
279,Corning,"$11,290.0",11.6%,"$1,066.0",-,"$27,505.0","$25,990.7",14,"51,500",14,2019,0,0
280,Expedia Group,"$11,223.0",11.6%,$406.0,7.4%,"$18,033.0","$17,515.6",15,"24,500",15,2019,0,0
281,AutoZone,"$11,221.1",3.1%,"$1,337.5",4.4%,"$9,347.0","$25,487.9",-3,"72,450",-3,2019,0,0
282,W.W. Grainger,"$11,221.0",7.6%,$782.0,33.5%,"$5,873.0","$16,732.7",5,"23,850",5,2019,0,0
283,Quanta Services,"$11,171.4",18.0%,$293.3,-6.9%,"$7,075.8","$5,336.2",33,"39,200",33,2019,0,0
284,Crown Holdings,"$11,151.0",28.2%,$439.0,35.9%,"$15,262.0","$7,384.9",54,"33,429",54,2019,0,0
285,Office Depot,"$11,130.0",3.5%,$104.0,-42.5%,"$6,166.0","$1,971.9",-4,"44,000",-4,2019,0,0
286,Baxter International,"$11,127.0",5.4%,"$1,624.0",126.5%,"$15,641.0","$41,558.9",-3,"50,000",-3,2019,0,0
287,Lam Research,"$11,077.0",38.2%,"$2,380.7",40.2%,"$12,479.5","$27,315.8",67,"10,900",67,2019,0,0
288,Entergy,"$11,009.5",-0.6%,$848.7,106.2%,"$48,275.1","$18,214.6",-14,"13,688",-14,2019,0,0
289,Charles Schwab,"$10,989.0",22.6%,"$3,507.0",49.0%,"$296,482.0","$57,051.3",41,"19,500",41,2019,0,0
290,L3 Technologies,"$10,841.0",-1.5%,"$1,005.0",48.4%,"$13,518.0","$16,368.2",-14,"31,000",-14,2019,0,0
291,NRG Energy,"$10,797.0",-4.2%,$268.0,-,"$10,628.0","$11,850.9",-22,"4,862",-22,2019,0,0
292,Live Nation Entertainment,"$10,787.8",4.4%,$60.2,-,"$8,496.9","$13,400.5",-2,"16,000",-2,2019,0,0
293,Universal Health Services,"$10,772.3",-4.5%,$779.7,3.6%,"$11,265.5","$12,144.3",-25,"75,650",-25,2019,0,0
294,Molson Coors Brewing,"$10,769.6",-2.1%,"$1,116.5",-28.7%,"$30,109.8","$12,958.0",-19,"17,750",-19,2019,0,0
295,eBay,"$10,746.0",12.3%,"$2,530.0",-,"$22,819.0","$33,978.7",14,"14,000",14,2019,0,0
296,AES,"$10,736.0",-22.5%,"$1,203.0",-,"$32,521.0","$11,975.4",-82,"9,000",-82,2019,0,0
297,Devon Energy,"$10,734.0",-23.0%,"$3,064.0",241.2%,"$19,566.0","$13,832.7",-84,"2,880",-84,2019,0,0
298,Pacific Life,"$10,699.0",12.5%,$913.0,-33.1%,"$157,699.0",-,15,"3,776",15,2019,0,0
299,CenterPoint Energy,"$10,589.0",10.1%,$368.0,-79.5%,"$27,009.0","$15,394.2",9,"7,977",9,2019,0,0
300,Discovery,"$10,553.0",53.5%,$594.0,-,"$32,550.0","$13,632.8",109,"9,000",109,2019,0,0
301,BorgWarner,"$10,529.6",7.5%,$930.7,111.6%,"$10,095.3","$7,974.3",-,"30,000",-,2019,0,0
302,Targa Resources,"$10,484.0",18.9%,$1.6,-97.0%,"$16,938.2","$9,645.6",32,"2,460",32,2019,0,0
303,Ally Financial,"$10,466.0",6.1%,"$1,263.0",36.0%,"$178,869.0","$11,025.3",-4,"8,200",-4,2019,0,0
304,SunTrust Banks,"$10,431.0",7.1%,"$2,775.0",22.1%,"$215,543.0","$26,262.9",-1,"22,899",-1,2019,0,0
305,IQVIA Holdings,"$10,412.0",6.9%,$259.0,-80.2%,"$22,549.0","$28,280.9",-1,"58,000",-1,2019,0,0
306,American Family Insurance Group,"$10,336.2",8.3%,$295.3,89.7%,"$27,502.5",-,5,"11,975",5,2019,0,0
307,Delek US Holdings,"$10,265.6",39.7%,$340.1,17.8%,"$5,760.6","$2,821.7",77,"3,717",77,2019,0,0
308,Navistar International,"$10,250.0",19.6%,$340.0,1033.3%,"$7,230.0","$3,199.8",34,"13,100",34,2019,0,0
309,Chesapeake Energy,"$10,231.0",7.7%,$873.0,-8.0%,"$10,947.0","$5,058.3",5,"2,350",5,2019,0,0
310,United Natural Foods,"$10,226.7",10.3%,$165.7,27.3%,"$2,964.5",$671.8,9,"10,000",9,2019,0,0
311,Leidos Holdings,"$10,194.0",0.2%,$581.0,58.7%,"$8,770.0","$9,205.1",-19,"32,000",-19,2019,0,0
312,PulteGroup,"$10,188.3",18.8%,"$1,022.0",128.5%,"$10,173.0","$7,758.4",29,"5,086",29,2019,0,0
313,Eastman Chemical,"$10,151.0",6.3%,"$1,080.0",-22.0%,"$15,995.0","$10,531.1",-3,"14,595",-3,2019,0,0
314,Republic Services,"$10,040.9",-0.0%,"$1,036.9",-18.9%,"$21,617.0","$25,851.5",-18,"36,000",-18,2019,0,0
315,Mohawk Industries,"$9,983.6",5.2%,$861.7,-11.3%,"$13,099.1","$9,121.9",-,"42,100",-,2019,0,0
316,Sonic Automotive,"$9,951.6",0.9%,$51.7,-44.5%,"$3,796.8",$636.7,-18,"9,700",-18,2019,0,0
317,Owens & Minor,"$9,838.7",5.6%,$-437.0,-700.3%,"$3,773.8",$258.4,1,"17,900",1,2019,0,0
318,Xerox,"$9,830.0",-4.2%,$361.0,85.1%,"$14,874.0","$7,307.6",-27,"32,400",-27,2019,0,0
319,Boston Scientific,"$9,823.0",8.6%,"$1,671.0",1506.7%,"$20,999.0","$53,367.4",9,"32,000",9,2019,0,0
320,DCP Midstream,"$9,822.0",16.1%,$298.0,30.1%,"$14,266.0","$4,736.6",24,"2,650",24,2019,0,0
321,Autoliv,"$9,801.1",-5.6%,$190.4,-55.4%,"$6,721.6","$6,413.4",-32,"62,091",-32,2019,0,0
322,Interpublic Group,"$9,714.4",23.2%,$618.9,6.9%,"$15,620.3","$8,087.0",37,"54,000",37,2019,0,0
323,Public Service Enterprise Group,"$9,696.0",6.7%,"$1,438.0",-8.6%,"$45,326.0","$30,002.0",4,"13,145",4,2019,0,0
324,PVH,"$9,656.8",8.3%,$746.4,38.8%,"$11,863.7","$9,164.1",8,"29,350",8,2019,0,0
325,Mosaic,"$9,587.3",29.4%,$470.0,-,"$20,119.2","$10,527.2",57,"13,600",57,2019,0,0
326,Advance Auto Parts,"$9,580.6",2.2%,$423.8,-10.9%,"$9,040.6","$12,221.9",-9,"55,500",-9,2019,0,0
327,Altice USA,"$9,566.6",2.6%,$18.8,-98.8%,"$33,613.8","$14,708.0",-,"11,993",-,2019,0,0
328,Hormel Foods,"$9,545.7",4.1%,"$1,012.1",19.5%,"$8,142.3","$23,976.8",-5,"20,100",-5,2019,0,0
329,O'Reilly Automotive,"$9,536.4",6.2%,"$1,324.5",16.8%,"$7,980.8","$30,438.4",-,"64,325",-,2019,0,0
330,Calpine,"$9,512.0",8.7%,$10.0,-,"$16,062.0",-,6,"2,282",6,2019,0,0
331,Hertz Global Holdings,"$9,504.0",8.0%,$-225.0,-168.8%,"$21,382.0","$1,457.8",4,"38,000",4,2019,1,0
332,First Data,"$9,498.0",-21.2%,"$1,005.0",-31.4%,"$38,327.0","$24,767.2",-78,"19,000",-78,2019,0,0
333,Pioneer Natural Resources,"$9,415.0",72.6%,$978.0,17.4%,"$17,903.0","$25,639.3",164,"3,177",164,2019,0,0
334,Coty,"$9,398.0",22.8%,$-168.8,-,"$22,630.2","$8,639.5",37,"20,000",37,2019,0,0
335,AGCO,"$9,352.0",12.6%,$285.5,53.2%,"$7,626.4","$5,335.4",12,"21,200",12,2019,0,0
336,Mutual of Omaha Insurance,"$9,347.2",7.0%,$277.3,-67.9%,"$43,913.4",-,1,"6,314",1,2019,0,0
337,Vistra Energy,"$9,144.0",68.4%,$-54.0,-,"$26,024.0","$12,647.8",162,"5,275",162,2019,0,0
338,Avis Budget Group,"$9,124.0",3.1%,$165.0,-54.3%,"$19,149.0","$2,646.2",-5,"25,600",-5,2019,0,0
339,Adobe,"$9,030.0",23.7%,"$2,590.8",52.9%,"$18,768.7","$130,034.0",50,"21,357",50,2019,0,0
340,Peter Kiewit Sons',"$9,025.0",4.0%,$468.0,26.1%,"$4,760.0",-,-1,"20,000",-1,2019,0,0
341,News Corp.,"$9,024.0",10.9%,"$-1,514.0",-,"$16,346.0","$7,286.8",9,"28,000",9,2019,0,0
342,Brighthouse Financial,"$8,965.0",-,$865.0,-,"$206,294.0","$4,230.2",-,"1,260",-,2019,0,0
343,Voya Financial,"$8,934.0",-7.5%,$875.0,-,"$154,682.0","$7,291.0",-36,"6,000",-36,2019,0,0
344,Air Products & Chemicals,"$8,930.2",5.8%,"$1,497.8",-50.1%,"$19,178.3","$41,940.8",1,"16,150",1,2019,0,0
345,Hilton Worldwide Holdings,"$8,906.0",-2.6%,$764.0,-39.3%,"$13,995.0","$24,292.8",-21,"169,000",-21,2019,0,0
346,GameStop,"$8,850.7",-4.1%,$-673.0,-2039.5%,"$4,044.3","$1,036.0",-24,"33,000",-24,2019,0,0
347,Veritiv,"$8,696.2",4.0%,$-15.7,-,"$2,529.7",$418.5,-1,"8,700",-1,2019,1,0
348,Williams,"$8,686.0",8.2%,$-155.0,-107.1%,"$45,302.0","$34,801.1",5,"5,322",5,2019,0,0
349,Campbell Soup,"$8,685.0",10.1%,$261.0,-70.6%,"$14,529.0","$11,481.6",9,"23,000",9,2019,0,0
350,Rockwell Collins,"$8,665.0",27.0%,"$1,032.0",46.4%,"$19,026.0",-,65,"31,200",65,2019,0,0
351,Thrivent Financial for Lutherans,"$8,635.2",1.3%,"$1,233.9",121.0%,"$94,482.9",-,-8,"3,708",-8,2019,1,0
352,Westlake Chemical,"$8,635.0",7.4%,$996.0,-23.6%,"$11,602.0","$8,718.3",-,"8,870",-,2019,0,0
353,Univar,"$8,632.5",4.6%,$172.3,43.8%,"$5,272.4","$3,760.5",-4,"8,500",-4,2019,0,0
354,J.B. Hunt Transport Services,"$8,614.9",19.8%,$489.6,-28.7%,"$5,091.6","$11,014.2",41,"27,621",41,2019,0,0
355,Frontier Communications,"$8,611.0",-5.7%,$-643.0,-,"$23,659.0",$209.6,-30,"21,173",-30,2019,0,0
356,Jones Financial (Edward Jones),"$8,594.0",13.1%,$990.0,13.5%,"$15,815.0",-,20,"47,000",20,2019,1,0
357,National Oilwell Varco,"$8,453.0",15.7%,$-31.0,-,"$19,796.0","$10,214.7",31,"34,642",31,2019,0,0
358,Eversource Energy,"$8,448.2",9.0%,"$1,033.0",4.6%,"$38,241.3","$22,512.6",6,"7,998",6,2019,0,0
359,Dick's Sporting Goods,"$8,436.6",-1.8%,$319.9,-1.1%,"$4,187.1","$3,544.9",-19,"27,950",-19,2019,0,0
360,Genworth Financial,"$8,430.0",1.6%,$119.0,-85.4%,"$100,923.0","$1,918.5",-12,"3,500",-12,2019,0,0
361,Fidelity National Information Services,"$8,423.0",-7.7%,$846.0,-35.9%,"$23,770.0","$36,546.5",-35,"47,000",-35,2019,0,0
362,Yum China Holdings,"$8,415.0",17.8%,$708.0,75.7%,"$4,610.0","$17,019.2",35,"450,000",35,2019,1,0
363,Ryder System,"$8,409.2",14.7%,$273.3,-65.4%,"$13,051.1","$3,302.5",24,"39,600",24,2019,0,0
364,Anixter International,"$8,400.2",6.0%,$156.3,43.4%,"$4,653.1","$1,878.7",-7,"9,300",-7,2019,0,0
365,Caesars Entertainment,"$8,391.0",72.9%,$303.0,-,"$25,775.0","$5,823.5",171,"66,000",-,2019,0,0
366,Masco,"$8,359.0",9.4%,$734.0,37.7%,"$5,393.0","$11,568.7",7,"26,000",7,2019,0,0
367,Thor Industries,"$8,328.9",14.9%,$430.2,14.9%,"$2,778.7","$3,434.3",25,"17,500",25,2019,0,0
368,Alaska Air Group,"$8,264.0",4.2%,$437.0,-57.7%,"$10,912.0","$6,937.1",-13,"23,376",-13,2019,0,0
369,Amphenol,"$8,202.0",17.0%,"$1,205.0",85.2%,"$10,044.9","$28,151.4",34,"73,600",34,2019,0,0
370,WESCO International,"$8,176.6",6.5%,$227.3,39.1%,"$4,605.0","$2,395.8",-,"9,100",-,2019,0,0
371,Huntington Ingalls Industries,"$8,176.0",9.9%,$836.0,74.5%,"$6,383.0","$8,631.3",10,"40,000",10,2019,0,0
372,Jefferies Financial Group,"$8,151.8",-34.3%,"$1,026.8",497.9%,"$47,131.1","$5,686.9",-131,"4,700",-131,2019,0,0
373,Dana,"$8,143.0",13.0%,$427.0,284.7%,"$5,918.0","$2,545.0",20,"30,900",20,2019,0,0
374,Expeditors Intl. of Washington,"$8,138.4",17.6%,$618.2,26.3%,"$3,314.6","$13,043.9",34,"17,400",34,2019,0,0
375,EMCOR Group,"$8,130.6",5.8%,$283.5,24.8%,"$4,088.8","$4,092.3",-7,"33,000",-7,2019,0,0
376,Darden Restaurants,"$8,080.1",12.7%,$596.0,24.4%,"$5,469.6","$15,002.6",20,"180,656",20,2019,0,0
377,SpartanNash,"$8,064.6",-0.8%,$33.6,-,"$1,971.9",$570.6,-26,"11,400",-26,2019,0,0
378,Assurant,"$8,057.6",25.6%,$251.0,-51.7%,"$41,089.3","$5,854.3",62,"14,250",62,2019,0,0
379,United Rentals,"$8,047.0",21.2%,"$1,096.0",-18.6%,"$18,133.0","$9,002.2",45,"18,500",45,2019,0,0
380,Liberty Media,"$8,040.0",5.9%,$531.0,-60.8%,"$40,828.0","$12,349.5",-3,"4,641",-3,2019,0,0
381,Erie Insurance Group,"$8,030.7",6.6%,$686.3,-20.0%,"$21,178.2",-,-3,"5,547",-3,2019,0,0
382,Auto-Owners Insurance,"$7,999.3",5.2%,$754.5,16.8%,"$24,476.4",-,-7,"5,517",-7,2019,0,0
383,Cheniere Energy,"$7,987.0",42.6%,$471.0,-,"$31,987.0","$17,596.9",106,"1,372",106,2019,0,0
384,Fifth Third Bancorp,"$7,973.0",3.4%,"$2,193.0",-0.0%,"$146,069.0","$19,447.4",-18,"17,437",-18,2019,0,0
385,Foot Locker,"$7,939.0",2.0%,$541.0,90.5%,"$3,820.0","$6,841.1",-22,"32,401",-22,2019,0,0
386,Conagra Brands,"$7,938.3",-14.0%,$808.4,26.5%,"$10,389.5","$13,471.7",-65,"12,400",-65,2019,0,0
387,Zimmer Biomet Holdings,"$7,932.9",1.4%,$-379.2,-120.9%,"$24,126.8","$26,124.8",-26,"19,800",-26,2019,0,0
388,Tractor Supply,"$7,911.0",9.0%,$532.4,26.0%,"$3,085.3","$11,839.7",3,"22,000",3,2019,0,0
389,Berry Global Group,"$7,869.0",10.9%,$496.0,45.9%,"$9,131.0","$7,024.9",10,"24,000",10,2019,0,0
390,Alliance Data Systems,"$7,791.2",0.9%,$963.1,22.1%,"$30,387.7","$9,273.5",-25,"20,000",-25,2019,1,0
391,Hershey,"$7,791.1",3.7%,"$1,177.6",50.4%,"$7,703.0","$23,944.3",-12,"15,675",-12,2019,1,0
392,PPL,"$7,785.0",4.5%,"$1,827.0",62.0%,"$43,396.0","$22,882.5",-12,"12,444",-12,2019,0,0
393,Dean Foods,"$7,755.3",-0.5%,$-326.9,-630.8%,"$2,118.5",$277.9,-31,"15,000",-31,2019,0,0
394,Builders FirstSource,"$7,724.8",9.8%,$205.2,429.1%,"$2,932.3","$1,538.9",6,"15,000",6,2019,0,0
395,Oshkosh,"$7,705.5",12.8%,$471.9,65.2%,"$5,294.2","$5,262.6",19,"15,000",19,2019,0,0
396,EnLink Midstream,"$7,699.0",34.1%,$-13.2,-106.2%,"$10,694.1","$6,219.2",-,"1,449",-,2019,0,0
397,W.R. Berkley,"$7,691.7",0.1%,$640.7,16.7%,"$24,896.0","$10,337.0",-28,"7,448",-28,2019,0,0
398,WEC Energy Group,"$7,679.5",0.4%,"$1,059.3",-12.0%,"$33,475.8","$24,945.8",-26,"7,878",-26,2019,0,0
399,JetBlue Airways,"$7,658.0",9.2%,$188.0,-83.6%,"$10,426.0","$5,014.9",3,"18,268",3,2019,0,0
400,UGI,"$7,651.2",25.0%,$718.7,64.6%,"$11,980.9","$9,634.4",57,"13,000",57,2019,0,0
401,A-Mark Precious Metals,"$7,606.2",8.8%,$-3.4,-147.9%,$743.0,$83.7,3,184,3,2019,0,0
402,Fidelity National Financial,"$7,594.0",-22.3%,$628.0,-18.5%,"$9,301.0","$10,063.4",-100,"23,436",-100,2019,0,0
403,Constellation Brands,"$7,585.0",3.5%,"$2,318.9",51.1%,"$20,538.7","$33,209.6",-17,"9,600",-17,2019,0,0
404,Quest Diagnostics,"$7,531.0",-2.3%,$736.0,-4.7%,"$11,003.0","$12,072.8",-37,"46,000",-37,2019,0,0
